goodsNo,goodsName,category,function,formulation,price,pricerange,volume,ingredients,purchase_link,image_link,memberNo,skintype,skintone,skinconcern,review,rating,date,rank
A000000207459,닥터지 레드 블레미쉬 포 맨 플루이드/폼 2종,로션,수분 진정,가벼운 제형,29900,2-3,올인원 플루이드 150mL + 젠틀 클렌징폼 150mL + 톤로션2ml*2,<올인원 플루이드>,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207459&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=43,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020745906ko.jpg?l=ko,M0000011026940,건성,봄웜톤,모공 민감성 블랙헤드 아토피 홍조,아빠가 화장품 필요하다해서 구매했습니다여름이라 진정에 좋은 걸로 구매해 봤어요,10.0,2023.06.11,43.0
A000000207459,닥터지 레드 블레미쉬 포 맨 플루이드/폼 2종,로션,수분 진정,가벼운 제형,29900,2-3,올인원 플루이드 150mL + 젠틀 클렌징폼 150mL + 톤로션2ml*2,<올인원 플루이드>,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207459&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=43,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020745906ko.jpg?l=ko,M0000012103080,지성,여름쿨톤,모공 블랙헤드 잡티 주름 트러블 피지과다,50대 중반 아버지께 어버이날 선물로 드렸습니다다른 올인원 제품들이 싸고 디자인도 예뻐서 고민이 됐지만 역시 성분 좋고 순해서 믿을만한 건 닥터지인 것 같아 구매했습니다 근데 가격이 좀 비싸요ㅜㅜ제형은 가볍고 산뜻하며 무향이라 화장품 안바르시던 분들도 입문용으로 쉽게 사용할 수 있습니다저희 아버지도 만족하면서 잘 사용하고 계십니다,10.0,2024.05.14,43.0
A000000207459,닥터지 레드 블레미쉬 포 맨 플루이드/폼 2종,로션,수분 진정,가벼운 제형,29900,2-3,올인원 플루이드 150mL + 젠틀 클렌징폼 150mL + 톤로션2ml*2,<올인원 플루이드>,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207459&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=43,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020745906ko.jpg?l=ko,M0000004563774,건성,웜톤,미백 잡티 주름 탄력 홍조,제 남동생 3번째 재구매에요남자들은 여러가지 나눠바르기 귀찮아 해서 그런지항상 화장품 고를때 올인원 제품을 많이 찾더라구요그래서 처음에 요제품 골라줬는데 너무 잘 쓰더라구요피부랑도 잘 맞아서 수분감도 좋고 건조함이 심한데건조하지도 않다고 하더라구요 3통째 쓰는동안트러블도 없었다구 합니당 올인원 하나로 스킨 로션에센스 기능을 제대로 해서 좋다구 하더라구요올영탑리뷰언서2기 올리브영 탑리뷰언서2기,10.0,2023.03.07,43.0
A000000207459,닥터지 레드 블레미쉬 포 맨 플루이드/폼 2종,로션,수분 진정,가벼운 제형,29900,2-3,올인원 플루이드 150mL + 젠틀 클렌징폼 150mL + 톤로션2ml*2,<올인원 플루이드>,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207459&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=43,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020745906ko.jpg?l=ko,M0000004060069,트러블성,웜톤,민감성 블랙헤드 트러블 홍조,기존 로션 2종 기획이 좋았는데 이번에 로션과 폼으로 기획이 바꼈더라구요 다소 아쉽,10.0,2024.11.09,43.0
A000000207459,닥터지 레드 블레미쉬 포 맨 플루이드/폼 2종,로션,수분 진정,가벼운 제형,29900,2-3,올인원 플루이드 150mL + 젠틀 클렌징폼 150mL + 톤로션2ml*2,<올인원 플루이드>,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207459&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=43,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020745906ko.jpg?l=ko,M0000013722409,복합성,겨울쿨톤,각질 미백 민감성,남동생이 2통째 사용하는 제품입니다가볍고 수분감 많고 향이 없어좋아오,10.0,2023.07.10,43.0
A000000199522,닥터지 레드 블레미쉬 포 맨 올인원 크림 세트,로션,수분 진정,가벼운 제형,26600,2-3,닥터지 레드 블레미쉬 포 맨 올인원 크림 150ml +75ml,"정제수, 프로판다이올, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 메틸프로판다이올, 트라이에틸헥사노인, 나이아신아마이드, 아라키딜알코올, 판테놀, 비닐다이메티콘, 베헤닐알코올, 1,2-헥산다이올, 글리세릴스테아레이트에스이, 포타슘세틸포스페이트, 폴리글리세릴-2스테아레이트, 아라키딜글루코사이드, 글리세릴글루코사이드, 폴리아크릴레이트크로스폴리머-6, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카프릴릴글라이콜, 세테아릴올리베이트, 세테아릴알코올, 글리세릴스테아레이트, 스테아릴알코올, 솔비탄올리베이트, 하이드로제네이티드레시틴, 글리세린, 토코페롤, 에틸헥실글리세린, 프룩탄, 세라마이드엔피, 아데노신, 글루코노락톤, 다이소듐이디티에이, 글루코오스, 폴리글리세릴-3다이스테아레이트, 콜레스테롤, 병풀추출물, 팔미틱애씨드, 글리세릴스테아레이트시트레이트, 다이펩타이드-2, 마데카소사이드, 마데카식애씨드, 아시아티코사이드, 아시아틱애씨드, 벤질글라이콜, 하이드롤라이즈드글라이코사미노글리칸, 스테아릭애씨드, 미리스틱애씨드, 소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199522&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=30,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019952201ko.jpg?l=ko,M0000010273769,민감성,여름쿨톤,다크서클 모공 민감성 블랙헤드 아토피 홍조,아빠 화장품 필요하다고 해서 샀는데 얼굴 따갑지도 않고 좋다고 하더라구요,10.0,2024.03.01,30.0
A000000199522,닥터지 레드 블레미쉬 포 맨 올인원 크림 세트,로션,수분 진정,가벼운 제형,26600,2-3,닥터지 레드 블레미쉬 포 맨 올인원 크림 150ml +75ml,"정제수, 프로판다이올, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 메틸프로판다이올, 트라이에틸헥사노인, 나이아신아마이드, 아라키딜알코올, 판테놀, 비닐다이메티콘, 베헤닐알코올, 1,2-헥산다이올, 글리세릴스테아레이트에스이, 포타슘세틸포스페이트, 폴리글리세릴-2스테아레이트, 아라키딜글루코사이드, 글리세릴글루코사이드, 폴리아크릴레이트크로스폴리머-6, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카프릴릴글라이콜, 세테아릴올리베이트, 세테아릴알코올, 글리세릴스테아레이트, 스테아릴알코올, 솔비탄올리베이트, 하이드로제네이티드레시틴, 글리세린, 토코페롤, 에틸헥실글리세린, 프룩탄, 세라마이드엔피, 아데노신, 글루코노락톤, 다이소듐이디티에이, 글루코오스, 폴리글리세릴-3다이스테아레이트, 콜레스테롤, 병풀추출물, 팔미틱애씨드, 글리세릴스테아레이트시트레이트, 다이펩타이드-2, 마데카소사이드, 마데카식애씨드, 아시아티코사이드, 아시아틱애씨드, 벤질글라이콜, 하이드롤라이즈드글라이코사미노글리칸, 스테아릭애씨드, 미리스틱애씨드, 소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199522&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=30,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019952201ko.jpg?l=ko,M0000003377802,지성,여름쿨톤,모공 미백 블랙헤드 잡티 트러블 피지과다 홍조,남자친구 화장품으로 골라줬어요 평소 귀찮은거 싫어하고 끈적이는거 싫어해서 화장품 안바르더니 요건 잘바르네요,10.0,2023.03.11,30.0
A000000199522,닥터지 레드 블레미쉬 포 맨 올인원 크림 세트,로션,수분 진정,가벼운 제형,26600,2-3,닥터지 레드 블레미쉬 포 맨 올인원 크림 150ml +75ml,"정제수, 프로판다이올, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 메틸프로판다이올, 트라이에틸헥사노인, 나이아신아마이드, 아라키딜알코올, 판테놀, 비닐다이메티콘, 베헤닐알코올, 1,2-헥산다이올, 글리세릴스테아레이트에스이, 포타슘세틸포스페이트, 폴리글리세릴-2스테아레이트, 아라키딜글루코사이드, 글리세릴글루코사이드, 폴리아크릴레이트크로스폴리머-6, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카프릴릴글라이콜, 세테아릴올리베이트, 세테아릴알코올, 글리세릴스테아레이트, 스테아릴알코올, 솔비탄올리베이트, 하이드로제네이티드레시틴, 글리세린, 토코페롤, 에틸헥실글리세린, 프룩탄, 세라마이드엔피, 아데노신, 글루코노락톤, 다이소듐이디티에이, 글루코오스, 폴리글리세릴-3다이스테아레이트, 콜레스테롤, 병풀추출물, 팔미틱애씨드, 글리세릴스테아레이트시트레이트, 다이펩타이드-2, 마데카소사이드, 마데카식애씨드, 아시아티코사이드, 아시아틱애씨드, 벤질글라이콜, 하이드롤라이즈드글라이코사미노글리칸, 스테아릭애씨드, 미리스틱애씨드, 소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199522&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=30,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019952201ko.jpg?l=ko,M0000010273769,민감성,여름쿨톤,다크서클 모공 민감성 블랙헤드 아토피 홍조,아빠 기초템으로 샀는데 여태 썼던 화장품 중에서 제일 순하고 좋다고 하시더라구요 앞으로도 이것만 구매하려구요,10.0,2023.02.26,30.0
A000000199522,닥터지 레드 블레미쉬 포 맨 올인원 크림 세트,로션,수분 진정,가벼운 제형,26600,2-3,닥터지 레드 블레미쉬 포 맨 올인원 크림 150ml +75ml,"정제수, 프로판다이올, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 메틸프로판다이올, 트라이에틸헥사노인, 나이아신아마이드, 아라키딜알코올, 판테놀, 비닐다이메티콘, 베헤닐알코올, 1,2-헥산다이올, 글리세릴스테아레이트에스이, 포타슘세틸포스페이트, 폴리글리세릴-2스테아레이트, 아라키딜글루코사이드, 글리세릴글루코사이드, 폴리아크릴레이트크로스폴리머-6, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카프릴릴글라이콜, 세테아릴올리베이트, 세테아릴알코올, 글리세릴스테아레이트, 스테아릴알코올, 솔비탄올리베이트, 하이드로제네이티드레시틴, 글리세린, 토코페롤, 에틸헥실글리세린, 프룩탄, 세라마이드엔피, 아데노신, 글루코노락톤, 다이소듐이디티에이, 글루코오스, 폴리글리세릴-3다이스테아레이트, 콜레스테롤, 병풀추출물, 팔미틱애씨드, 글리세릴스테아레이트시트레이트, 다이펩타이드-2, 마데카소사이드, 마데카식애씨드, 아시아티코사이드, 아시아틱애씨드, 벤질글라이콜, 하이드롤라이즈드글라이코사미노글리칸, 스테아릭애씨드, 미리스틱애씨드, 소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199522&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=30,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019952201ko.jpg?l=ko,M0000003691436,복합성,웜톤,모공 미백,남친한테 선물해줬더니 그동안 받았던 화장품 중에 제일 좋았다고 하네요 끈적거리고 반질거리는 느낌이 없어서 좋았대요 그리고 무엇보다 하나만 발라서 편해서 좋대요담에도 이걸로 사달라고 하네요,10.0,2022.10.14,30.0
A000000199522,닥터지 레드 블레미쉬 포 맨 올인원 크림 세트,로션,수분 진정,가벼운 제형,26600,2-3,닥터지 레드 블레미쉬 포 맨 올인원 크림 150ml +75ml,"정제수, 프로판다이올, 부틸렌글라이콜다이카프릴레이트/다이카프레이트, 메틸프로판다이올, 트라이에틸헥사노인, 나이아신아마이드, 아라키딜알코올, 판테놀, 비닐다이메티콘, 베헤닐알코올, 1,2-헥산다이올, 글리세릴스테아레이트에스이, 포타슘세틸포스페이트, 폴리글리세릴-2스테아레이트, 아라키딜글루코사이드, 글리세릴글루코사이드, 폴리아크릴레이트크로스폴리머-6, 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머, 카프릴릴글라이콜, 세테아릴올리베이트, 세테아릴알코올, 글리세릴스테아레이트, 스테아릴알코올, 솔비탄올리베이트, 하이드로제네이티드레시틴, 글리세린, 토코페롤, 에틸헥실글리세린, 프룩탄, 세라마이드엔피, 아데노신, 글루코노락톤, 다이소듐이디티에이, 글루코오스, 폴리글리세릴-3다이스테아레이트, 콜레스테롤, 병풀추출물, 팔미틱애씨드, 글리세릴스테아레이트시트레이트, 다이펩타이드-2, 마데카소사이드, 마데카식애씨드, 아시아티코사이드, 아시아틱애씨드, 벤질글라이콜, 하이드롤라이즈드글라이코사미노글리칸, 스테아릭애씨드, 미리스틱애씨드, 소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드하이알루로닉애씨드, 하이드록시프로필트라이모늄하이알루로네이트, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199522&dispCatNo=100000100010016&t_page=카테고리관&t_click=로션_전체__상품상세&t_number=30,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0019/A00000019952201ko.jpg?l=ko,M0000012937235,복합성,봄웜톤,다크서클 모공 트러블 홍조,남자친구가 고심끝에 고른 제품인데 잘 쓰고 있대요ㅎㅋ원래 화장품 쓰다가 불만이 있으면 말할 성격인데 아무 말이 없는 것으로 보아 정말 잘 쓰고 있는 것 같아요ㅋㅋ남자친구아빠 등 선물용으로 좋은 것 같아요,10.0,2023.09.02,30.0
