goodsNo,goodsName,category,function,formulation,price,pricerange,volume,ingredients,purchase_link,image_link,memberNo,skintype,skintone,skinconcern,review,rating,date,rank
A000000209433,피지오겔 DMT 페이셜 크림,크림,수분 진정,무거운 제형,23900,2-3,150ml+ 리젠 크림 2ml 3개입,"정제수, 카프릴릭/카프릭트리글리세라이드, 글리세린, 펜틸렌글라이콜, 코코넛오일, 하이드로제네이티드레시틴, 쉐어버터, 하이드록시에칠셀룰로오스, 스쿠알란, 카보머, 잔탄검, 소듐카보머, 세라마이드엔피 (세라마이드3)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209433&dispCatNo=100000100010015&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=11,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020943309ko.jpg?l=ko,M0000011441394,복합성,봄웜톤,다크서클 블랙헤드,항상 잘 쓰고 있는 상품 또 샀어요 단종시키지만 말아줘요,10.0,2024.11.03,11.0
A000000209433,피지오겔 DMT 페이셜 크림,크림,수분 진정,무거운 제형,23900,2-3,150ml+ 리젠 크림 2ml 3개입,"정제수, 카프릴릭/카프릭트리글리세라이드, 글리세린, 펜틸렌글라이콜, 코코넛오일, 하이드로제네이티드레시틴, 쉐어버터, 하이드록시에칠셀룰로오스, 스쿠알란, 카보머, 잔탄검, 소듐카보머, 세라마이드엔피 (세라마이드3)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209433&dispCatNo=100000100010015&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=11,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020943309ko.jpg?l=ko,M0000003946780,중성,웜톤,모공 민감성 잡티 탄력,알코올이나 에탄올 성분 없어서 사용하기가 좋아용냥냥잉냥,10.0,2022.02.05,11.0
A000000209433,피지오겔 DMT 페이셜 크림,크림,수분 진정,무거운 제형,23900,2-3,150ml+ 리젠 크림 2ml 3개입,"정제수, 카프릴릭/카프릭트리글리세라이드, 글리세린, 펜틸렌글라이콜, 코코넛오일, 하이드로제네이티드레시틴, 쉐어버터, 하이드록시에칠셀룰로오스, 스쿠알란, 카보머, 잔탄검, 소듐카보머, 세라마이드엔피 (세라마이드3)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209433&dispCatNo=100000100010015&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=11,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020943309ko.jpg?l=ko,M0000003784996,복합성,쿨톤,각질 모공 민감성 주름 탄력 홍조,항상쓰는 피지오겔 겨울엔 성분 더해서 다시 제조해서 사용하니다,8.0,2022.01.08,11.0
A000000209433,피지오겔 DMT 페이셜 크림,크림,수분 진정,무거운 제형,23900,2-3,150ml+ 리젠 크림 2ml 3개입,"정제수, 카프릴릭/카프릭트리글리세라이드, 글리세린, 펜틸렌글라이콜, 코코넛오일, 하이드로제네이티드레시틴, 쉐어버터, 하이드록시에칠셀룰로오스, 스쿠알란, 카보머, 잔탄검, 소듐카보머, 세라마이드엔피 (세라마이드3)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209433&dispCatNo=100000100010015&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=11,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020943309ko.jpg?l=ko,M0000004419677,복합성,가을웜톤,민감성 트러블,피지오겔 성분 착하고 무너진 장벽에 좋습니다건조한 부분에 소량 발라주고 있어요,10.0,2024.10.30,11.0
A000000012880,피지오겔 DMT 페이셜 크림,크림,수분 진정,무거운 제형,25500,2-3,■75ml,"■정제수, 카프릴릭/카프릭트리글리세라이드,, 글리세린, 펜틸렌글라이콜, 코코넛오일, 하이드로제네이티드레시틴, 쉐어버터, 하이드록시에칠셀룰로오스, 스쿠알란, 카보며, 잔탄검, 소듐카보머, 세라마이드엔피",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000012880&dispCatNo=100000100010015&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=39,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0001/A00000001288003ko.jpg?l=ko,M0000016178335,트러블성,봄웜톤,각질 다크서클 모공 미백 민감성 블랙헤드 트러블 피지과다 홍조,가을 되자마자 얼굴에서 건성 부위인 이마 눈가 볼 앞쪽이 주상절리처럼 갈라지고 각질이 너무 심해서  유해 성분 없고 보습감 높지만 꾸덕꾸덕한 질감은 아닌 거 찾다가옛날에 ai 레드 크림 이 바르고 나면 보습력 하나는 굉장했던 거 같아서 같은 브랜드에 더 성분 좋은 이 제품 샀습니다여름에도 쓸만하면 여기 정착하려구요좋네요,10.0,2023.10.23,183.0
A000000148409,아비브 부활초 크림 뉴트리션 튜브,크림,수분 진정,무거운 제형,35000,3-5,75ml,"정제수, 부틸렌글라이콜, 글리세린, 트루로즈오브예리코추출물, 카프릴릭/카프릭트라이글리세라이드, 다이아이소스테아 릴말레이트, 코코넛야자오일, 시어버터, 세테아릴알코올, 다이글리세린, 펜틸렌글라이콜, 1,2-헥산다이올, 비스-다이글리세릴폴리아실아디페이트-2, 카프릴릭/카프릭/미리스틱/스테아릭트라이글리세라이드, 아이소트라이데실아이소노나노에이트, 아라키딜알코올, 호호바에스터, 카나우바왁스, 락토바실러스발효물, 차가버섯추출물, 블루아가베잎추출물, 판테놀, 합성비즈왁스, 비닐다이메티콘, 글리세릴스테아레이트, 아라키딜글루코사이드, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 팔미틱애씨드, 트로메타민, 하이드로제네이티드레시틴, 다이포타슘글리시리제이트, 에틸헥실글리세린, 아데노신, 트라이소듐에틸렌다이아민다이석시네이트, 토코페롤, 메틸프로판다이올, 베헤닐알코올, C12-16알코올, 잔탄검",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148409&dispCatNo=100000100010015&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=43,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0014/A00000014840905ko.jpg?l=ko,M0000003701156,복합성,쿨톤,각질 모공 민감성 블랙헤드 아토피 트러블 피지과다 홍조,이런 기획 상품 좋아요 튜브 용기라 나중에 거의 다 쓰게 될쯤엔 불편할 거 같지만요 아주 딥한 보습감은 아니고 크림에 비해 꾸덕하지만 의외로 산뜻하게 흡수 잘 되는 느낌이랄까요 기존에 쓰던 크림보단 훨 나아요 그보다 보습도 잡아주고요,8.0,2022.01.19,283.0
A000000211478,아비브 부활초 크림 뉴트리션 튜브,크림,수분 진정,무거운 제형,26400,2-3,75ml+75ml,"정제수, 부틸렌글라이콜, 글리세린, 트루로즈오브예리코추출물, 카프릴릭/카프릭트라이글리세라이드, 다이아이소스테아 릴말레이트, 코코넛야자오일, 시어버터, 세테아릴알코올, 다이글리세린, 펜틸렌글라이콜, 1,2-헥산다이올, 비스-다이글리세릴폴리아실아디페이트-2, 카프릴릭/카프릭/미리스틱/스테아릭트라이글리세라이드, 아이소트라이데실아이소노나노에이트, 아라키딜알코올, 호호바에스터, 카나우바왁스, 락토바실러스발효물, 차가버섯추출물, 블루아가베잎추출물, 판테놀, 합성비즈왁스, 비닐다이메티콘, 글리세릴스테아레이트, 아라키딜글루코사이드, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 팔미틱애씨드, 트로메타민, 하이드로제네이티드레시틴, 다이포타슘글리시리제이트, 에틸헥실글리세린, 아데노신, 트라이소듐에틸렌다이아민다이석시네이트, 토코페롤, 메틸프로판다이올, 베헤닐알코올, C12-16알코올, 잔탄검",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211478&dispCatNo=100000100010015&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=4,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021147805ko.jpg?l=ko,M0000016640059,복합성,봄웜톤,다크서클 블랙헤드 트러블,순하면서도 트러블에 효과 직빵인 크림이에요  트러블 올라왔을 때 바르고 잤더니 바로 진정됐어요,10.0,2024.10.29,4.0
A000000148409,아비브 부활초 크림 뉴트리션 튜브,크림,수분 진정,무거운 제형,35000,3-5,75ml,"정제수, 부틸렌글라이콜, 글리세린, 트루로즈오브예리코추출물, 카프릴릭/카프릭트라이글리세라이드, 다이아이소스테아 릴말레이트, 코코넛야자오일, 시어버터, 세테아릴알코올, 다이글리세린, 펜틸렌글라이콜, 1,2-헥산다이올, 비스-다이글리세릴폴리아실아디페이트-2, 카프릴릭/카프릭/미리스틱/스테아릭트라이글리세라이드, 아이소트라이데실아이소노나노에이트, 아라키딜알코올, 호호바에스터, 카나우바왁스, 락토바실러스발효물, 차가버섯추출물, 블루아가베잎추출물, 판테놀, 합성비즈왁스, 비닐다이메티콘, 글리세릴스테아레이트, 아라키딜글루코사이드, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 팔미틱애씨드, 트로메타민, 하이드로제네이티드레시틴, 다이포타슘글리시리제이트, 에틸헥실글리세린, 아데노신, 트라이소듐에틸렌다이아민다이석시네이트, 토코페롤, 메틸프로판다이올, 베헤닐알코올, C12-16알코올, 잔탄검",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000148409&dispCatNo=100000100010015&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=43,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0014/A00000014840905ko.jpg?l=ko,M0000001439879,건성,여름쿨톤,각질 모공 미백 민감성 블랙헤드 잡티 주름 탄력 홍조,이거 그냥 아비브 믿고 산 상품인데요 너무너무 만족해요건성에 완전 딱인 상품 같아요 ㅎㅎ부활초 들어간 상품 처음 보는데 앞으로 이 성분 있으면 바로 살거 같아요 그정도로 믿음이 가요일단 보습수분 크림인데쫀쫀한 크림이지만 끈적임은 전혀 없고 보습막이 씌어지는 느낌이에요부드럽고 수분감이 꽉 채워진 느낌이고번들거림이라던가 불편함은 전혀 없습니다지성은 잘 모르겠지만 건성극건성 너무 좋을거 같아요제 피부 보면 아시겠지만 스스로 윤광 나는 느낌이 들어요 ㅋㅋ너무 맘에 듭니다그러고나서 화장하면 잘 먹고 조합도 너무너무 좋습니당기초로도 화장품과의 궁함도 너무 좋은 상품이에요진짜 잘 산듯 싶습니다후기가 별로 없어서 고민했는데 11일때 사길 너무 잘 한거 같고그 정유미 배우님과 모델이 찰떡이에요 ㅋㅋ진짜 너무 잘 어울림건성분들 걱정 없이 츄라이츄라이 시도 해보셔도 문제 없을거 같아요아비브는 마스크팩 다음으로 이 크림도 신뢰도가 뽝 올라갔네요 ㅎㅎㅎ 앞으로 재구입 할 생각이 있습니다굳  디자인도 핸드크림 같이 이쁘지만 무려 75미리 양도 많다는거,10.0,2022.11.10,283.0
A000000211478,아비브 부활초 크림 뉴트리션 튜브,크림,수분 진정,무거운 제형,26400,2-3,75ml+75ml,"정제수, 부틸렌글라이콜, 글리세린, 트루로즈오브예리코추출물, 카프릴릭/카프릭트라이글리세라이드, 다이아이소스테아 릴말레이트, 코코넛야자오일, 시어버터, 세테아릴알코올, 다이글리세린, 펜틸렌글라이콜, 1,2-헥산다이올, 비스-다이글리세릴폴리아실아디페이트-2, 카프릴릭/카프릭/미리스틱/스테아릭트라이글리세라이드, 아이소트라이데실아이소노나노에이트, 아라키딜알코올, 호호바에스터, 카나우바왁스, 락토바실러스발효물, 차가버섯추출물, 블루아가베잎추출물, 판테놀, 합성비즈왁스, 비닐다이메티콘, 글리세릴스테아레이트, 아라키딜글루코사이드, 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 팔미틱애씨드, 트로메타민, 하이드로제네이티드레시틴, 다이포타슘글리시리제이트, 에틸헥실글리세린, 아데노신, 트라이소듐에틸렌다이아민다이석시네이트, 토코페롤, 메틸프로판다이올, 베헤닐알코올, C12-16알코올, 잔탄검",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211478&dispCatNo=100000100010015&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=4,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0021/A00000021147805ko.jpg?l=ko,M0000010420706,지성,쿨톤,민감성 트러블 피지과다,아비브 튜브는 일단 패키지가 예쁜데 내용물을 거의 다 쓸 수 있을 정도로 퀄리티가 좋아서 만족하구 상품 자체도 약간 샤베트처럼 분명 꾸덕한데 바를때 사르르 녹으면서 마무리감 깔끔하게 보습되서 너무너무 좋아요 재구매에요 또 재구매할거에요,10.0,2024.11.20,4.0
A000000203918,라로슈포제 시카플라스트 밤B5+,크림,수분 진정,무거운 제형,49900,3-5,200ml + 50ml + 3ml ,시카플라스트 밤 B5+ 200ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000203918&dispCatNo=100000100010015&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=46,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/550/10/0000/0020/A00000020391801ko.jpg?l=ko,M0000000203051,복합성,웜톤,미백 잡티 주름 탄력,트러블에 민감한 피부인데 후기 보고 써보니 자극없고 피부에 올라오는 것도 없어서 재구매해서 쓰고 있어요,10.0,2024.11.07,670.0
